"타임스탬프","1. [전반적 만족도] 교육 과정(경력사원 입문과정)의 내용이 경력 입사자에게 필요한 내용으로 구성되어 있다.","2. [과정 목표] 교육 과정의 목표가 명확하게 제시되었다. ","3-1. [과정 시간] 교육 과정의 목표를 달성하기에 교육 시간은 적절하였다.","3-2. 교육의 목표를 달성하기에 교육 시간이 적절하지 않았다고 생각한다면,
그 이유에 대해 자세히 작성해 주세요.","4. [강사 평가] 강사진들의 능력(전문성, 학습 목표, 전달력)이 우수하였다.","5. [강사 평가]교육 과정 전반의 내용이 이해하기 쉽게 구성되었다.","6. [운영자 평가] 인재성장지원팀의 운영(교육 전 안내, 교육 중)이 만족스럽다.","7. [추천도] 다음 이지가족사 경력 입사자에게 추천해 주고 싶다.","1. [이지가족 인재상 및 미래비전] 이지가족사의 인재상, 소명, 미래 비전에 대해 이해하고 설명할 수 있다. (이지훈 대표 / 정다운)","2. [이지다움] 이지가족 가치체계(미션, 비전, 핵심가치 및 행동규범)에 대해 이해하고 실천할 수 있다. (김애선 차장 / 이지홀딩스)","3. [M1. 이지가족으로서 온보딩] 조직의 시너지를 높이기 위해서 해야 할 것과 하지 말아야 할 것들을 설명할 수 있다. (연제익 강사 / PSI컨설팅)","4. [M2.강점진단과 자기이해] 자신의 소통 유형을 파악하여, 강점을 강화하고, 약점을 보완하는 방법을 찾고 실행할 수 있다. (연제익 강사 / PSI컨설팅)","5. [M3. 갈등관리와 소통기술] 상대방의 유형을 파악하고 그 유형에 따른 유연성을 발휘할 수 있다. (연제익 강사 / PSI컨설팅)","6. [M4. 갈등관리와 소통기술] 직장인이 갖추어야 하는 4가지 소통스킬을 이해하고 현업에서 적용할 수 있다. (연제익 강사 / PSI컨설팅)","7. [M5. 행복한 미래설계] 3년 후, 10년 후, 이지 안에서의 나의 성공한 모습을 설명할 수 있다. (연제익 강사 / PSI컨설팅)","1. 교육 과정에서 유익했던 점 또는 현업에 가장 도움이 되는 점은 무엇이고, 그 이유는 무엇입니까?","2. 이지가족이 기대하는 경력사원의 역할을 성공적으로 수행하기 위해 조직 차원에서 필요한 지원은 무엇입니까? ","3. 이번 과정에서 보완해야 할 점이나 향후 반영되기를 희망하는 추가 의견이 있다면 자유롭게 기술해 주세요."
"2025/06/20 5:16:43 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","타가족사 업무도 이하","급여인상","없습니다"
"2025/06/20 5:17:00 PM GMT+9","그렇다","매우 그렇다","그렇다","","매우 그렇다","그렇다","그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그룹사에 관련하여 많은 정보를 얻었습니다.","",""
"2025/06/20 5:17:04 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇지 않다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","","",""
"2025/06/20 5:17:08 PM GMT+9","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","매우 그렇지 않다","변화적응","협력","없습니다"
"2025/06/20 5:17:32 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","","",""
"2025/06/20 5:17:53 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","그렇다","매우 그렇다","그렇다","","",""
"2025/06/20 5:18:07 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","","",""
"2025/06/20 5:18:11 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","보통이다","자기성향파악","다양한 교육",""
"2025/06/20 5:18:27 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","설득과 소통에 대한 내용으로 조직내에서 유용하게 쓸수 있을꺼같습니다.","해당 교육이 경력사원만이 아닌 조직문화의 활동 및 매년 다른 가족사 분들과 하면 좋을꺼같습니다.","좀 더 길게 했으면 좋겠습니다."
"2025/06/20 5:18:30 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","나의 소통유형 파악","교육","없음"
"2025/06/20 5:18:54 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","성향분석 남을 더 이해하고 파악할수있게 되었다","관심 권한 ","회식"
"2025/06/20 5:19:50 PM GMT+9","그렇다","그렇다","그렇다","","그렇다","그렇다","그렇다","보통이다","그렇다","매우 그렇다","그렇다","그렇다","그렇다","그렇다","그렇다","직원들끼리 만남","전사적으로 복지(자기개발, 회식, 문화의날 등) 재정립 
없는곳도 있어요","좋았습니다."
"2025/06/20 5:19:52 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","소통할수 있는 생각 생김","이러한 교육을 활성화 하여 많은 직원들이 받으면 좋겠다.","위치를 남부나 중부쪽도 고려해주시면 좋겠습니다."
"2025/06/20 5:20:05 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","커뮤니케이션 능력 향상, 소통의 방법을 알 수 있는 시간이였음","",""
"2025/06/20 5:20:17 PM GMT+9","매우 그렇다","매우 그렇다","보통이다","영상으로 시청했던 교육은 생략 또는 간소화하여 시간을 줄이는 방향도 좋을 것 같습니다. ","매우 그렇다","매우 그렇다","그렇다","그렇다","보통이다","그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","소통 스킬","적응",""
"2025/06/20 5:20:23 PM GMT+9","매우 그렇다","매우 그렇다","매우 그렇다","적절합니다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","매우 그렇다","조직에 융화","충성도","없습니다 "